report_quarter,sector,average close
2019Q1,Basic Materials,55.05866521625945
2019Q1,Communication Services,60.334082961025935
2019Q1,Consumer Cyclical,85.6124748924218
2019Q1,Consumer Defensive,78.61052389920144
2019Q1,Energy,38.513714211370235
2019Q1,Financial Services,49.97321878238362
2019Q1,Healthcare,144.0287329054261
2019Q1,Industrials,76.10845764413288
2019Q1,Other,186.0223135189387
2019Q1,Real Estate,59.550816693166155
2019Q1,Technology,104.00492335772348
2019Q1,Utilities,59.010916702226844
2019Q2,Basic Materials,56.191211204483594
2019Q2,Communication Services,60.29833325685576
2019Q2,Consumer Cyclical,85.04293980958772
2019Q2,Consumer Defensive,79.46022500362973
2019Q2,Energy,35.82591079101191
2019Q2,Financial Services,50.18505005101455
2019Q2,Healthcare,125.55981116868921
2019Q2,Industrials,74.88785682030759
2019Q2,Other,174.9635059215244
2019Q2,Real Estate,59.28382398738742
2019Q2,Technology,99.37843523422485
2019Q2,Utilities,59.65944154098734
2019Q3,Basic Materials,55.3992025260938
2019Q3,Communication Services,57.9989873621874
2019Q3,Consumer Cyclical,83.18170966830935
2019Q3,Consumer Defensive,80.63987750190918
2019Q3,Energy,30.749296909299275
2019Q3,Financial Services,48.72410112760611
2019Q3,Healthcare,98.47453154514682
2019Q3,Industrials,72.57466750651506
2019Q3,Other,155.16887617615427
2019Q3,Real Estate,60.999710414715786
2019Q3,Technology,88.2546775439221
2019Q3,Utilities,62.67507934459047
2019Q4,Basic Materials,58.17082962473092
2019Q4,Communication Services,61.45737480911864
2019Q4,Consumer Cyclical,85.97328238161747
2019Q4,Consumer Defensive,80.73393866171145
2019Q4,Energy,31.97786534365614
2019Q4,Financial Services,47.51427462860863
2019Q4,Healthcare,106.288408453784
2019Q4,Industrials,75.09867995229499
2019Q4,Other,136.9843015260411
2019Q4,Real Estate,59.90770001483226
2019Q4,Technology,84.51345975469579
2019Q4,Utilities,61.50113355501425
2020Q1,Basic Materials,41.130383561129584
2020Q1,Communication Services,51.58938372871717
2020Q1,Consumer Cyclical,55.53125973990748
2020Q1,Consumer Defensive,65.99240126134193
2020Q1,Energy,14.404197657592535
2020Q1,Financial Services,34.600503602938474
2020Q1,Healthcare,83.1455145824037
2020Q1,Industrials,52.8592639438006
2020Q1,Other,187.3768077092715
2020Q1,Real Estate,41.03012047996733
2020Q1,Technology,66.54407407810291
2020Q1,Utilities,52.137102280538194
2020Q2,Basic Materials,50.91422679009908
2020Q2,Communication Services,64.05391837122983
2020Q2,Consumer Cyclical,76.95441813373245
2020Q2,Consumer Defensive,77.64857386630176
2020Q2,Energy,18.070255114571065
2020Q2,Financial Services,45.14146593654554
2020Q2,Healthcare,109.01790942109996
2020Q2,Industrials,64.33647653766077
2020Q2,Other,141.5418513664035
2020Q2,Real Estate,46.55704535021161
2020Q2,Technology,90.1150917186381
2020Q2,Utilities,52.74720552308658
2020Q3,Basic Materials,55.618186440612774
2020Q3,Communication Services,66.53845729435425
2020Q3,Consumer Cyclical,85.58116105675344
2020Q3,Consumer Defensive,80.88789109153791
2020Q3,Energy,15.654337647021949
2020Q3,Financial Services,44.9169370721875
2020Q3,Healthcare,111.84314970282357
2020Q3,Industrials,66.89425194649681
2020Q3,Other,109.78465474461257
2020Q3,Real Estate,46.21152087538879
2020Q3,Technology,93.54683929249165
2020Q3,Utilities,52.40381808251633
2020Q4,Basic Materials,65.68286428270541
2020Q4,Communication Services,81.21996661432811
